Date,Product,Category,Quantity Sold,Unit Price,Total Revenue,Region,Profit
2024-02-21,Laptop,Electronics,16,781,12496,South,9296
2024-01-07,TV,Electronics,17,917,15589,East,12189
2024-01-19,Laptop,Electronics,34,1017,34578,East,27778
2024-02-01,Mouse,Accessories,6,8,48,East,-1152
2024-01-15,Headphones,Accessories,50,66,3300,West,-6700
2024-02-25,TV,Electronics,49,767,37583,South,27783
2024-02-20,TV,Electronics,27,598,16146,South,10746
2024-02-18,TV,Electronics,17,1332,22644,North,19244
2024-01-03,Laptop,Electronics,45,1155,51975,West,42975
2024-02-20,Tablet,Electronics,5,374,1870,South,870
2024-01-05,Laptop,Electronics,44,1235,54340,South,45540
2024-02-01,TV,Electronics,26,1518,39468,North,34268
2024-01-21,Keyboard,Accessories,36,43,1548,South,-5652
2024-01-04,Mouse,Accessories,33,19,627,West,-5973
2024-01-16,Tablet,Electronics,3,727,2181,West,1581
2024-01-09,Keyboard,Accessories,22,55,1210,South,-3190
2024-01-13,Keyboard,Accessories,19,31,589,East,-3211
2024-02-09,Smartwatch,Wearables,41,271,11111,East,2911
2024-02-20,Mouse,Accessories,4,45,180,North,-620
2024-01-12,Keyboard,Accessories,44,93,4092,North,-4708
2024-01-17,Headphones,Accessories,18,24,432,South,-3168
2024-03-01,Smartwatch,Wearables,26,177,4602,North,-598
2024-01-15,TV,Electronics,17,1015,17255,West,13855
2024-01-23,Smartphone,Electronics,50,405,20250,South,10250
2024-01-30,TV,Electronics,20,637,12740,West,8740
2024-02-27,Tablet,Electronics,24,472,11328,West,6528
2024-01-12,Headphones,Accessories,20,117,2340,West,-1660
2024-01-02,Keyboard,Accessories,8,57,456,South,-1144
2024-01-31,Mouse,Accessories,38,15,570,East,-7030
2024-02-03,Keyboard,Accessories,32,23,736,South,-5664
2024-02-21,Keyboard,Accessories,45,78,3510,West,-5490
2024-02-19,Laptop,Electronics,42,1466,61572,South,53172
2024-02-02,Tablet,Electronics,26,835,21710,South,16510
2024-02-29,Laptop,Electronics,43,790,33970,East,25370
2024-02-26,TV,Electronics,6,1016,6096,West,4896
2024-02-08,Keyboard,Accessories,42,73,3066,North,-5334
2024-02-12,Mouse,Accessories,27,65,1755,West,-3645
2024-02-04,Laptop,Electronics,23,1334,30682,East,26082
2024-01-20,Smartwatch,Wearables,20,113,2260,South,-1740
2024-01-04,Smartwatch,Wearables,45,347,15615,West,6615
2024-01-21,Smartphone,Electronics,9,664,5976,West,4176
2024-02-25,Mouse,Accessories,24,45,1080,North,-3720
2024-02-25,Mouse,Accessories,19,9,171,North,-3629
2024-01-10,Headphones,Accessories,22,50,1100,North,-3300
2024-01-06,Tablet,Electronics,7,805,5635,West,4235
2024-03-01,Smartwatch,Wearables,42,332,13944,North,5544
2024-02-04,Headphones,Accessories,6,43,258,West,-942
2024-01-10,Smartphone,Electronics,12,511,6132,North,3732
2024-01-12,Smartwatch,Wearables,3,367,1101,North,501
2024-01-30,Laptop,Electronics,46,720,33120,North,23920
2024-01-03,Headphones,Accessories,37,38,1406,North,-5994
2024-01-01,TV,Electronics,18,860,15480,North,11880
2024-01-22,Mouse,Accessories,17,22,374,West,-3026
2024-01-09,TV,Electronics,1,932,932,West,732
2024-02-15,Smartphone,Electronics,27,806,21762,East,16362
2024-01-18,Smartphone,Electronics,5,753,3765,South,2765
2024-01-15,TV,Electronics,31,846,26226,South,20026
2024-01-05,Mouse,Accessories,4,38,152,East,-648
2024-02-21,Tablet,Electronics,15,533,7995,East,4995
2024-02-05,Tablet,Electronics,30,751,22530,West,16530
2024-01-22,Laptop,Electronics,26,967,25142,West,19942
2024-02-22,Smartwatch,Wearables,23,207,4761,North,161
2024-02-12,Smartwatch,Wearables,28,359,10052,East,4452
2024-02-13,Smartwatch,Wearables,10,302,3020,East,1020
2024-02-29,Smartwatch,Wearables,44,392,17248,East,8448
2024-02-16,Smartwatch,Wearables,10,247,2470,East,470
2024-02-03,TV,Electronics,32,825,26400,North,20000
2024-01-17,Keyboard,Accessories,18,76,1368,East,-2232
2024-01-28,Laptop,Electronics,8,1180,9440,West,7840
2024-02-19,Smartphone,Electronics,10,668,6680,South,4680
2024-02-06,Smartwatch,Wearables,2,327,654,South,254
2024-02-09,Smartwatch,Wearables,32,224,7168,East,768
2024-02-04,TV,Electronics,49,616,30184,East,20384
2024-02-03,Headphones,Accessories,29,77,2233,East,-3567
2024-02-04,Mouse,Accessories,47,47,2209,East,-7191
2024-02-07,Mouse,Accessories,15,42,630,South,-2370
2024-01-05,Smartwatch,Wearables,37,359,13283,East,5883
2024-01-30,Keyboard,Accessories,4,13,52,East,-748
2024-02-15,Keyboard,Accessories,11,30,330,East,-1870
2024-01-04,Tablet,Electronics,27,370,9990,East,4590
2024-03-01,Laptop,Electronics,23,912,20976,North,16376
2024-02-25,Smartphone,Electronics,28,322,9016,South,3416
2024-02-19,Laptop,Electronics,22,1291,28402,West,24002
2024-01-08,TV,Electronics,1,1849,1849,South,1649
2024-02-12,Tablet,Electronics,42,470,19740,West,11340
2024-01-04,Keyboard,Accessories,6,38,228,North,-972
2024-02-18,Smartwatch,Wearables,40,374,14960,South,6960
2024-01-14,Smartwatch,Wearables,47,377,17719,North,8319
2024-02-18,Tablet,Electronics,43,560,24080,East,15480
2024-01-05,Laptop,Electronics,17,1058,17986,East,14586
2024-01-07,Laptop,Electronics,25,810,20250,South,15250
2024-02-27,Headphones,Accessories,47,92,4324,South,-5076
2024-02-20,Mouse,Accessories,5,71,355,West,-645
2024-02-18,TV,Electronics,43,1595,68585,East,59985
2024-01-31,Headphones,Accessories,38,116,4408,South,-3192
2024-01-19,Keyboard,Accessories,9,46,414,West,-1386
2024-02-27,Laptop,Electronics,27,1236,33372,West,27972
2024-02-12,Laptop,Electronics,18,1122,20196,West,16596
2024-02-10,Headphones,Accessories,49,45,2205,South,-7595
2024-01-29,TV,Electronics,49,1712,83888,East,74088
2024-02-05,Mouse,Accessories,21,18,378,South,-3822
2024-01-15,TV,Electronics,47,804,37788,West,28388
2024-02-26,Headphones,Accessories,22,144,3168,West,-1232
2024-01-08,Laptop,Electronics,1,829,829,North,629
2024-02-11,Headphones,Accessories,16,90,1440,South,-1760
2024-01-16,Mouse,Accessories,47,74,3478,West,-5922
2024-02-24,Mouse,Accessories,36,66,2376,South,-4824
2024-03-01,TV,Electronics,10,2016,20160,North,18160
2024-01-09,Tablet,Electronics,32,535,17120,West,10720
2024-01-27,TV,Electronics,34,1307,44438,West,37638
2024-02-03,Laptop,Electronics,15,1139,17085,South,14085
2024-01-18,Laptop,Electronics,32,717,22944,North,16544
2024-02-03,Mouse,Accessories,9,24,216,East,-1584
2024-02-19,Smartwatch,Wearables,4,145,580,North,-220
2024-03-01,Keyboard,Accessories,29,66,1914,East,-3886
2024-01-16,Keyboard,Accessories,25,35,875,West,-4125
2024-02-26,Keyboard,Accessories,18,39,702,East,-2898
2024-01-09,Laptop,Electronics,11,891,9801,South,7601
2024-02-04,Smartwatch,Wearables,33,114,3762,North,-2838
2024-01-20,Mouse,Accessories,27,71,1917,East,-3483
2024-02-22,Mouse,Accessories,14,11,154,East,-2646
2024-02-08,Smartwatch,Wearables,47,71,3337,South,-6063
2024-02-10,TV,Electronics,7,1826,12782,East,11382
2024-02-29,Smartwatch,Wearables,44,268,11792,North,2992
2024-01-18,Keyboard,Accessories,45,38,1710,East,-7290
2024-01-08,Keyboard,Accessories,17,20,340,North,-3060
2024-01-15,Mouse,Accessories,1,69,69,East,-131
2024-02-05,Tablet,Electronics,31,579,17949,North,11749
2024-01-15,Tablet,Electronics,44,780,34320,East,25520
2024-01-08,Laptop,Electronics,16,732,11712,East,8512
2024-01-31,Smartphone,Electronics,19,642,12198,West,8398
2024-01-26,TV,Electronics,50,1499,74950,East,64950
2024-02-29,Keyboard,Accessories,4,10,40,North,-760
2024-01-23,TV,Electronics,15,1148,17220,North,14220
2024-02-22,Tablet,Electronics,49,587,28763,South,18963
2024-01-07,Smartphone,Electronics,32,831,26592,East,20192
2024-01-02,Mouse,Accessories,6,57,342,East,-858
2024-01-28,Laptop,Electronics,37,1032,38184,South,30784
2024-01-04,Headphones,Accessories,8,103,824,North,-776
2024-02-15,Tablet,Electronics,17,892,15164,West,11764
2024-01-19,Laptop,Electronics,2,1430,2860,West,2460
2024-01-24,Laptop,Electronics,49,855,41895,East,32095
2024-01-04,TV,Electronics,1,2024,2024,South,1824
2024-01-08,Smartphone,Electronics,43,766,32938,South,24338
2024-01-09,Keyboard,Accessories,50,15,750,East,-9250
2024-01-14,Smartwatch,Wearables,28,214,5992,East,392
2024-02-11,Tablet,Electronics,2,672,1344,East,944
2024-01-18,Keyboard,Accessories,7,18,126,South,-1274
2024-02-04,Laptop,Electronics,49,1349,66101,South,56301
2024-02-05,TV,Electronics,27,1844,49788,North,44388
2024-01-19,Headphones,Accessories,10,57,570,South,-1430
2024-01-29,Headphones,Accessories,50,40,2000,South,-8000
2024-01-09,Smartwatch,Wearables,20,244,4880,North,880
2024-01-28,Tablet,Electronics,20,412,8240,West,4240
2024-02-22,Smartwatch,Wearables,8,244,1952,East,352
2024-02-08,Keyboard,Accessories,47,59,2773,East,-6627
2024-01-07,Keyboard,Accessories,6,56,336,North,-864
2024-02-16,Smartphone,Electronics,27,1068,28836,South,23436
2024-02-09,TV,Electronics,43,1024,44032,East,35432
2024-02-18,Laptop,Electronics,19,721,13699,South,9899
2024-02-10,Keyboard,Accessories,12,41,492,North,-1908
2024-02-24,Tablet,Electronics,17,806,13702,East,10302
2024-02-05,TV,Electronics,3,2267,6801,South,6201
2024-02-19,Laptop,Electronics,5,843,4215,South,3215
2024-01-04,Tablet,Electronics,23,383,8809,West,4209
2024-01-28,Keyboard,Accessories,7,14,98,East,-1302
2024-02-17,Smartwatch,Wearables,31,230,7130,East,930
2024-01-04,Smartphone,Electronics,39,992,38688,East,30888
2024-02-01,Smartphone,Electronics,3,605,1815,East,1215
2024-02-23,Tablet,Electronics,17,726,12342,West,8942
2024-01-19,Smartphone,Electronics,40,404,16160,East,8160
2024-03-01,Tablet,Electronics,46,629,28934,North,19734
2024-02-09,Laptop,Electronics,24,720,17280,East,12480
2024-02-12,Laptop,Electronics,23,822,18906,North,14306
2024-01-06,Smartphone,Electronics,11,991,10901,East,8701
2024-02-28,Laptop,Electronics,27,832,22464,West,17064
2024-02-09,Tablet,Electronics,19,794,15086,South,11286
2024-01-28,Tablet,Electronics,15,687,10305,North,7305
2024-01-20,Mouse,Accessories,31,35,1085,West,-5115
2024-02-02,Smartwatch,Wearables,46,233,10718,East,1518
2024-02-14,Smartwatch,Wearables,13,232,3016,East,416
2024-02-19,Mouse,Accessories,33,39,1287,West,-5313
2024-01-31,TV,Electronics,18,1088,19584,South,15984
2024-02-21,TV,Electronics,12,1667,20004,West,17604
2024-01-13,Laptop,Electronics,13,927,12051,North,9451
2024-02-26,Smartphone,Electronics,19,1156,21964,South,18164
2024-02-06,Mouse,Accessories,46,11,506,East,-8694
2024-02-13,Headphones,Accessories,48,30,1440,North,-8160
2024-01-19,Laptop,Electronics,24,1446,34704,South,29904
2024-01-29,TV,Electronics,13,588,7644,South,5044
2024-02-02,Headphones,Accessories,24,138,3312,North,-1488
2024-01-30,Smartwatch,Wearables,7,249,1743,South,343
2024-01-18,Keyboard,Accessories,8,34,272,East,-1328
2024-01-23,Keyboard,Accessories,34,73,2482,North,-4318
2024-01-22,Smartphone,Electronics,31,543,16833,North,10633
2024-02-04,Smartphone,Electronics,21,332,6972,East,2772
2024-02-08,TV,Electronics,25,1285,32125,South,27125
2024-02-29,Headphones,Accessories,45,91,4095,West,-4905
2024-02-22,Mouse,Accessories,23,57,1311,North,-3289
2024-01-11,Smartwatch,Wearables,7,256,1792,South,392
2024-01-10,Headphones,Accessories,33,23,759,East,-5841
2024-02-17,Headphones,Accessories,33,96,3168,West,-3432
2024-01-18,Mouse,Accessories,43,35,1505,West,-7095
2024-01-27,Laptop,Electronics,2,870,1740,South,1340
2024-01-07,Smartphone,Electronics,48,537,25776,South,16176
2024-02-10,TV,Electronics,26,1873,48698,East,43498
2024-01-17,Smartwatch,Wearables,19,79,1501,South,-2299
2024-02-01,Laptop,Electronics,46,1216,55936,East,46736
2024-01-30,Smartwatch,Wearables,42,240,10080,South,1680
2024-01-23,TV,Electronics,42,557,23394,North,14994
2024-02-28,Keyboard,Accessories,39,61,2379,East,-5421
2024-02-26,Smartwatch,Wearables,4,78,312,South,-488
2024-02-17,Tablet,Electronics,37,278,10286,West,2886
2024-01-15,TV,Electronics,15,1824,27360,South,24360
2024-02-01,Tablet,Electronics,47,632,29704,West,20304
2024-01-25,TV,Electronics,4,798,3192,West,2392
2024-01-08,Keyboard,Accessories,50,60,3000,South,-7000
2024-01-03,Laptop,Electronics,47,1442,67774,East,58374
2024-01-01,Smartphone,Electronics,43,1184,50912,East,42312
2024-02-08,Laptop,Electronics,48,1499,71952,North,62352
2024-02-13,Smartphone,Electronics,43,401,17243,West,8643
2024-01-31,Smartwatch,Wearables,2,77,154,North,-246
2024-01-22,Laptop,Electronics,17,1240,21080,West,17680
2024-01-05,TV,Electronics,1,2377,2377,South,2177
2024-01-11,TV,Electronics,41,671,27511,West,19311
2024-02-28,Keyboard,Accessories,41,84,3444,South,-4756
2024-01-25,Headphones,Accessories,13,88,1144,South,-1456
2024-01-04,TV,Electronics,5,1437,7185,East,6185
2024-02-06,Mouse,Accessories,3,39,117,North,-483
2024-01-01,Tablet,Electronics,11,258,2838,East,638
2024-01-18,Mouse,Accessories,27,80,2160,West,-3240
2024-02-13,Mouse,Accessories,24,80,1920,South,-2880
2024-01-11,Smartwatch,Wearables,37,282,10434,South,3034
2024-01-07,Tablet,Electronics,18,834,15012,East,11412
2024-01-02,Laptop,Electronics,48,1107,53136,East,43536
2024-01-10,Laptop,Electronics,36,1344,48384,West,41184
2024-02-24,Mouse,Accessories,19,48,912,North,-2888
2024-02-02,Smartwatch,Wearables,39,286,11154,North,3354
2024-02-18,Laptop,Electronics,46,1242,57132,South,47932
2024-01-07,Keyboard,Accessories,46,61,2806,North,-6394
2024-01-14,Tablet,Electronics,34,730,24820,East,18020
2024-02-05,Mouse,Accessories,1,46,46,West,-154
2024-01-11,Laptop,Electronics,27,1296,34992,West,29592
2024-01-12,TV,Electronics,2,2052,4104,East,3704
2024-02-17,Mouse,Accessories,29,39,1131,West,-4669
2024-02-22,Tablet,Electronics,50,460,23000,East,13000
2024-01-22,Mouse,Accessories,14,11,154,West,-2646
2024-01-05,Smartphone,Electronics,42,489,20538,South,12138
2024-01-28,Smartphone,Electronics,42,799,33558,East,25158
2024-01-21,Smartphone,Electronics,23,1182,27186,North,22586
2024-02-27,Laptop,Electronics,42,989,41538,West,33138
2024-01-18,Smartwatch,Wearables,4,229,916,North,116
2024-02-09,Laptop,Electronics,10,987,9870,West,7870
2024-01-04,Smartwatch,Wearables,17,343,5831,East,2431
2024-02-09,TV,Electronics,4,1576,6304,East,5504
2024-02-21,TV,Electronics,40,1932,77280,South,69280
2024-01-31,TV,Electronics,42,1910,80220,North,71820
2024-02-20,Smartwatch,Wearables,45,386,17370,West,8370
2024-02-09,Laptop,Electronics,34,1476,50184,North,43384
2024-01-08,Smartwatch,Wearables,47,182,8554,North,-846
2024-01-17,Headphones,Accessories,1,20,20,South,-180
2024-02-04,Laptop,Electronics,15,1088,16320,West,13320
2024-02-18,Smartwatch,Wearables,20,251,5020,West,1020
2024-02-14,TV,Electronics,3,2395,7185,South,6585
2024-01-18,Headphones,Accessories,7,60,420,South,-980
2024-01-01,Headphones,Accessories,32,64,2048,South,-4352
2024-02-15,Laptop,Electronics,15,908,13620,North,10620
2024-02-02,Smartwatch,Wearables,29,375,10875,West,5075
2024-02-11,Tablet,Electronics,24,440,10560,North,5760
2024-01-25,Smartphone,Electronics,47,304,14288,South,4888
2024-02-29,Keyboard,Accessories,23,86,1978,East,-2622
2024-01-27,Smartwatch,Wearables,15,255,3825,North,825
2024-01-21,Tablet,Electronics,45,217,9765,West,765
2024-01-04,Headphones,Accessories,14,85,1190,South,-1610
2024-02-17,Keyboard,Accessories,45,34,1530,East,-7470
2024-02-28,Mouse,Accessories,27,44,1188,North,-4212
2024-02-03,Smartphone,Electronics,43,820,35260,South,26660
2024-01-09,Headphones,Accessories,19,54,1026,East,-2774
2024-01-19,Smartphone,Electronics,1,311,311,East,111
2024-02-11,Smartphone,Electronics,16,883,14128,North,10928
2024-01-06,Smartphone,Electronics,32,1140,36480,South,30080
2024-01-27,Smartwatch,Wearables,22,123,2706,West,-1694
2024-02-18,Laptop,Electronics,31,1322,40982,East,34782
2024-01-10,Smartwatch,Wearables,23,128,2944,North,-1656
2024-02-24,Headphones,Accessories,48,67,3216,West,-6384
2024-02-03,TV,Electronics,23,2013,46299,West,41699
2024-01-09,Mouse,Accessories,15,32,480,West,-2520
2024-01-09,TV,Electronics,32,768,24576,East,18176
2024-01-20,Keyboard,Accessories,41,93,3813,West,-4387
2024-02-08,Laptop,Electronics,35,1438,50330,East,43330
2024-01-16,Smartwatch,Wearables,24,80,1920,East,-2880
2024-01-22,Smartwatch,Wearables,28,138,3864,West,-1736
2024-01-05,TV,Electronics,45,1963,88335,South,79335
2024-01-29,Smartphone,Electronics,3,1161,3483,East,2883
2024-02-22,Mouse,Accessories,38,9,342,East,-7258
2024-01-19,Tablet,Electronics,43,319,13717,West,5117
2024-01-30,TV,Electronics,24,1477,35448,North,30648
2024-01-10,Headphones,Accessories,8,92,736,North,-864
2024-02-27,Smartphone,Electronics,45,393,17685,South,8685
2024-01-30,TV,Electronics,5,1567,7835,South,6835
2024-02-20,Smartphone,Electronics,40,1023,40920,West,32920
2024-01-16,Mouse,Accessories,14,39,546,East,-2254
2024-01-21,Tablet,Electronics,1,837,837,West,637
2024-02-13,Laptop,Electronics,32,1020,32640,West,26240
2024-02-29,Keyboard,Accessories,32,84,2688,North,-3712
2024-01-07,Smartwatch,Wearables,4,258,1032,North,232
2024-01-03,Headphones,Accessories,26,110,2860,East,-2340
2024-02-16,Laptop,Electronics,9,1104,9936,East,8136
2024-01-08,Mouse,Accessories,22,62,1364,East,-3036
2024-02-10,Laptop,Electronics,7,778,5446,South,4046
2024-02-20,Smartphone,Electronics,47,1044,49068,North,39668
2024-02-17,Tablet,Electronics,38,437,16606,West,9006
2024-01-23,Smartwatch,Wearables,39,309,12051,North,4251
2024-01-02,Laptop,Electronics,10,902,9020,East,7020
2024-02-12,Smartwatch,Wearables,3,179,537,West,-63
2024-01-13,Smartwatch,Wearables,30,366,10980,North,4980
2024-02-23,Tablet,Electronics,22,541,11902,South,7502
2024-01-31,TV,Electronics,37,1159,42883,North,35483
2024-01-14,Tablet,Electronics,6,637,3822,South,2622
2024-02-23,Smartphone,Electronics,18,445,8010,North,4410
2024-02-02,Mouse,Accessories,47,25,1175,East,-8225
2024-02-02,Smartphone,Electronics,17,382,6494,South,3094
2024-01-24,Headphones,Accessories,25,88,2200,South,-2800
2024-02-24,Keyboard,Accessories,49,23,1127,West,-8673
2024-01-08,TV,Electronics,6,967,5802,South,4602
2024-01-04,Laptop,Electronics,40,717,28680,North,20680
2024-02-17,Laptop,Electronics,17,1162,19754,North,16354
2024-02-15,TV,Electronics,48,642,30816,East,21216
2024-01-08,Tablet,Electronics,41,252,10332,East,2132
2024-01-31,Mouse,Accessories,26,20,520,South,-4680
2024-01-26,Mouse,Accessories,36,26,936,West,-6264
2024-01-14,Tablet,Electronics,10,538,5380,West,3380
2024-01-21,Laptop,Electronics,1,821,821,South,621
2024-01-31,Tablet,Electronics,24,295,7080,South,2280
2024-02-21,Smartwatch,Wearables,26,321,8346,West,3146
2024-02-25,Smartwatch,Wearables,41,100,4100,North,-4100
2024-01-13,Keyboard,Accessories,7,69,483,North,-917
2024-02-02,Smartwatch,Wearables,11,339,3729,South,1529
2024-02-23,Headphones,Accessories,28,122,3416,South,-2184
2024-01-29,Laptop,Electronics,11,941,10351,West,8151
2024-01-29,Keyboard,Accessories,4,66,264,North,-536
2024-02-29,Headphones,Accessories,22,149,3278,East,-1122
2024-01-09,TV,Electronics,42,1055,44310,East,35910
2024-02-14,Keyboard,Accessories,37,64,2368,West,-5032
2024-02-17,Laptop,Electronics,20,1123,22460,North,18460
2024-02-17,Laptop,Electronics,35,773,27055,West,20055
2024-01-16,TV,Electronics,38,1889,71782,South,64182
2024-01-23,Smartwatch,Wearables,48,54,2592,West,-7008
2024-01-04,Mouse,Accessories,11,71,781,West,-1419
2024-01-30,Smartphone,Electronics,17,1127,19159,North,15759
2024-02-04,Laptop,Electronics,24,1473,35352,South,30552
2024-01-09,Keyboard,Accessories,1,71,71,South,-129
2024-02-14,Tablet,Electronics,33,858,28314,East,21714
2024-02-15,Smartphone,Electronics,32,1042,33344,South,26944
2024-02-16,TV,Electronics,38,1156,43928,North,36328
2024-02-07,Laptop,Electronics,49,804,39396,South,29596
2024-02-27,Mouse,Accessories,27,13,351,North,-5049
2024-01-16,Headphones,Accessories,17,138,2346,East,-1054
2024-02-24,Laptop,Electronics,23,1293,29739,South,25139
2024-02-26,Smartphone,Electronics,48,457,21936,North,12336
2024-02-02,Tablet,Electronics,38,205,7790,South,190
2024-02-24,TV,Electronics,50,1749,87450,North,77450
2024-02-03,TV,Electronics,43,2397,103071,North,94471
2024-02-05,Smartwatch,Wearables,24,191,4584,South,-216
2024-01-08,Tablet,Electronics,38,456,17328,North,9728
2024-02-20,Laptop,Electronics,5,1267,6335,East,5335
2024-02-18,Smartwatch,Wearables,22,284,6248,South,1848
2024-02-06,Headphones,Accessories,7,85,595,North,-805
2024-02-25,Keyboard,Accessories,27,29,783,South,-4617
2024-01-05,Keyboard,Accessories,28,40,1120,North,-4480
2024-01-27,Laptop,Electronics,27,826,22302,East,16902
2024-01-25,Mouse,Accessories,35,75,2625,North,-4375
2024-02-15,Laptop,Electronics,33,1061,35013,South,28413
2024-02-15,Tablet,Electronics,22,244,5368,North,968
2024-01-13,TV,Electronics,31,2259,70029,South,63829
2024-02-18,Headphones,Accessories,3,61,183,East,-417
2024-01-28,Mouse,Accessories,39,53,2067,West,-5733
2024-01-09,Headphones,Accessories,46,93,4278,South,-4922
2024-02-20,Smartwatch,Wearables,37,253,9361,South,1961
2024-01-17,Smartwatch,Wearables,31,313,9703,West,3503
2024-02-01,Smartwatch,Wearables,24,342,8208,North,3408
2024-02-16,Tablet,Electronics,14,456,6384,West,3584
2024-01-26,Smartwatch,Wearables,20,123,2460,East,-1540
2024-02-29,Tablet,Electronics,9,479,4311,East,2511
2024-01-22,Smartwatch,Wearables,22,372,8184,South,3784
2024-02-06,Laptop,Electronics,39,1385,54015,North,46215
2024-02-17,Headphones,Accessories,50,98,4900,South,-5100
2024-01-31,Tablet,Electronics,1,202,202,South,2
2024-02-20,Laptop,Electronics,1,844,844,West,644
2024-02-27,TV,Electronics,19,1801,34219,North,30419
2024-02-28,Headphones,Accessories,39,25,975,South,-6825
2024-01-29,Laptop,Electronics,50,844,42200,North,32200
2024-01-09,Headphones,Accessories,31,51,1581,West,-4619
2024-03-01,TV,Electronics,11,1154,12694,North,10494
2024-01-01,Headphones,Accessories,17,145,2465,South,-935
2024-01-08,Laptop,Electronics,50,1184,59200,West,49200
2024-02-27,TV,Electronics,43,1270,54610,East,46010
2024-02-22,Headphones,Accessories,14,138,1932,North,-868
2024-02-17,Mouse,Accessories,26,67,1742,East,-3458
2024-02-15,Mouse,Accessories,14,20,280,North,-2520
2024-01-16,Mouse,Accessories,21,55,1155,North,-3045
2024-01-20,Mouse,Accessories,16,28,448,South,-2752
2024-01-28,Tablet,Electronics,19,385,7315,North,3515
2024-02-16,Laptop,Electronics,43,907,39001,North,30401
2024-02-09,Keyboard,Accessories,19,49,931,North,-2869
2024-02-08,Smartwatch,Wearables,50,285,14250,East,4250
2024-01-14,Headphones,Accessories,14,81,1134,West,-1666
2024-01-28,Smartwatch,Wearables,47,387,18189,North,8789
2024-02-11,Tablet,Electronics,5,764,3820,West,2820
2024-02-23,Mouse,Accessories,9,55,495,West,-1305
2024-01-19,Mouse,Accessories,21,80,1680,West,-2520
2024-02-18,Mouse,Accessories,7,19,133,South,-1267
2024-01-05,Tablet,Electronics,13,741,9633,West,7033
2024-02-15,Keyboard,Accessories,48,90,4320,West,-5280
2024-01-26,TV,Electronics,5,1709,8545,South,7545
2024-02-15,Laptop,Electronics,47,806,37882,East,28482
2024-01-21,Keyboard,Accessories,49,100,4900,East,-4900
2024-01-07,Keyboard,Accessories,37,45,1665,West,-5735
2024-02-01,Tablet,Electronics,26,809,21034,South,15834
2024-01-10,Keyboard,Accessories,43,30,1290,North,-7310
2024-02-29,Laptop,Electronics,22,1139,25058,West,20658
2024-01-30,Headphones,Accessories,25,119,2975,North,-2025
2024-01-27,Tablet,Electronics,5,859,4295,West,3295
2024-02-15,Mouse,Accessories,40,66,2640,South,-5360
2024-02-27,Tablet,Electronics,35,372,13020,North,6020
2024-02-17,Keyboard,Accessories,5,54,270,North,-730
2024-02-21,Mouse,Accessories,12,63,756,North,-1644
2024-01-10,TV,Electronics,21,693,14553,North,10353
2024-01-06,Tablet,Electronics,2,709,1418,West,1018
2024-01-11,Headphones,Accessories,24,73,1752,West,-3048
2024-01-26,Smartwatch,Wearables,39,303,11817,West,4017
2024-01-12,Headphones,Accessories,42,20,840,East,-7560
2024-01-11,Mouse,Accessories,46,47,2162,East,-7038
2024-01-21,Tablet,Electronics,37,610,22570,East,15170
2024-01-27,Headphones,Accessories,18,113,2034,North,-1566
2024-01-19,Tablet,Electronics,33,647,21351,South,14751
